epoch,train_loss,valid_loss,validation,fool_loss,div_loss_0,time
0,3.363520,3.378347,0.466000,1.378392,0.999977,03:34
1,3.230224,3.295447,0.487000,1.295517,0.999965,03:33
2,2.699166,2.698510,0.559000,1.032403,0.833054,03:34
3,2.211566,2.296930,0.647000,0.861328,0.717801,03:34
4,2.231647,2.186102,0.660000,0.832961,0.676570,03:34
5,2.053151,2.192463,0.662000,0.794732,0.698866,03:33
6,2.034477,2.149428,0.679000,0.742267,0.703580,03:38
7,1.988328,2.123027,0.683000,0.737066,0.692981,03:34
8,1.955653,2.049188,0.680000,0.730698,0.659245,03:32
9,1.881450,2.021614,0.703000,0.680907,0.670353,03:34
10,1.793347,1.941769,0.728000,0.647982,0.646894,03:35
11,1.694785,1.786418,0.752000,0.568215,0.609102,03:36
12,1.521845,1.706512,0.771000,0.514220,0.596146,03:35
13,1.485750,1.646671,0.795000,0.500737,0.572967,03:36
14,1.376374,1.584848,0.791000,0.496251,0.544298,03:34
15,1.395656,1.469469,0.813000,0.423904,0.522783,03:34
16,1.435123,1.542212,0.794000,0.484617,0.528798,03:34
17,1.350592,1.426829,0.817000,0.437227,0.494801,03:34
18,1.282254,1.484645,0.817000,0.441999,0.521323,03:32
19,1.299974,1.394246,0.811000,0.454949,0.469649,03:32
20,1.239436,1.416490,0.818000,0.422659,0.496916,03:33
21,1.307133,1.340283,0.838000,0.406260,0.467012,03:35
22,1.194286,1.425571,0.830000,0.428170,0.498700,03:34
23,1.311270,1.391597,0.841000,0.402825,0.494386,03:34
24,1.255443,1.388113,0.833000,0.397674,0.495219,03:34
25,1.197168,1.354339,0.828000,0.412221,0.471059,03:35
26,1.159059,1.386918,0.847000,0.416773,0.485072,03:33
27,1.217318,1.329610,0.848000,0.389209,0.470200,03:40
28,1.193479,1.429305,0.829000,0.434697,0.497304,03:33
29,1.122286,1.288769,0.846000,0.363060,0.462854,03:33
30,1.149367,1.312479,0.837000,0.363479,0.474500,03:32
31,1.115020,1.282317,0.843000,0.360295,0.461011,03:33
32,1.074595,1.318259,0.829000,0.422196,0.448031,03:35
33,1.112063,1.212577,0.862000,0.341841,0.435368,03:33
34,1.043291,1.190969,0.854000,0.350424,0.420273,03:33
35,1.048825,1.206123,0.846000,0.358661,0.423731,03:33
36,1.022951,1.231687,0.839000,0.355947,0.437870,03:33
37,1.076938,1.189363,0.851000,0.360565,0.414399,03:33
38,1.099897,1.218713,0.848000,0.354205,0.432254,03:33
39,1.034185,1.194058,0.862000,0.297823,0.448117,03:35
